organization,id,type,source,location,continent,industry,year,records
Saga Prefecture schools,287,Identity Theft,Malicious Outsider,Japan,Asia,Education,2016,210000
Unreal Engine/Epic Games,288,Account Access,Malicious Outsider,United States,North America,Technology,2016,808000
uTorrent,289,Account Access,Malicious Outsider,United States,North America,Technology,2016,388000
Nevada State,290,Identity Theft,Malicious Outsider,United States,North America,Government,2016,145000
Shiseido Co/IPSA Co,291,Financial Access,Malicious Outsider,Japan,Asia,Retail,2016,420000
Showpo,292,Financial Access,Malicious Insider,Australia,Australia,Retail,2016,306000
Time Warner Cable,293,Account Access,Malicious Outsider,United States,North America,Technology,2016,320000
BLU/ Wireless Update,294,Identity Theft,Malicious Outsider,United States,North America,Retail,2016,120000
Netia SA,295,Nuisance,Malicious Outsider,Europe,Europe,Technology,2016,957525
Nulled.io,296,Identity Theft,Hacktivist,Global,Global,Technology,2016,536064
Team Skeet/Paper Street Media (PSM),297,Account Access,Malicious Outsider,United States,North America,Other,2016,237000
Three,298,Identity Theft,Malicious Outsider,United Kingdom,Europe,Retail,2016,133827
U.S. Navy,299,Identity Theft,Malicious Outsider,United States,North America,Government,2016,134386
Vermont Fish & Wildlife Department,300,Identity Theft,Malicious Outsider,United States,North America,Government,2016,120000
