organization,id,type,source,location,continent,industry,year,records
Adult FriendFinder/Friend Finder Network/Cams/Penthouse/Stripshow/iCams,201,Account Access,Malicious Outsider,United States,North America,Other,2016,412214295
Fling,202,Identity Theft,Malicious Outsider,United Kingdom,Europe,Other,2016,40000000
Philippines' Commission on Elections (COMELEC),203,Identity Theft,Malicious Outsider,Philippines,Asia,Government,2016,77736795
17 Media,204,Identity Theft,Malicious Outsider,Taiwan,Asia,Technology,2016,30000000
DailyMotion,205,Account Access,Malicious Outsider,France,Europe,Technology,2016,85000000
Evony Gaming Company,206,Account Access,Malicious Outsider,United States,North America,Technology,2016,33407472
Kerala,207,Identity Theft,Malicious Outsider,India,Asia,Government,2016,34000000
Mate1,208,Account Access,Malicious Outsider,United States,North America,Other,2016,27000000
Mexican Voters,209,Identity Theft,Accidental Loss,Mexico,North America,Government,2016,93400000
Verticalscope/Techsupportforum.com MobileCampsites.com Pbnation.com and Motorcycle,210,Account Access,Malicious Outsider,Canada,North America,Technology,2016,45000000
U.S. health insurer,211,Identity Theft,Malicious Outsider,United States,North America,Healthcare,2016,9300000
Weebly,212,Account Access,Malicious Outsider,United States,North America,Technology,2016,43430316
Modern Business Solutions,213,Nuisance,Malicious Outsider,United States,North America,Technology,2016,58000000
Mail.ru / Cross Fire / ParaPa Dance City / Ground War Tank game,214,Account Access,Malicious Outsider,Russia,Europe,Technology,2016,25133805
"U.S. Department of Health and Human Services Office of Child Support Enforcement, the National Federation of Independent Business, the Federal Highway Administration and Lightspeed Retail.",215,Identity Theft,Malicious Outsider,United States,North America,Government,2016,5000000
U.S. Voter/Amazon/Google,216,Nuisance,Accidental Loss,United States,North America,Government,2016,154000000
Banner Health,217,Identity Theft,Malicious Outsider,United States,North America,Healthcare,2016,3700000
JTB Corp,218,Identity Theft,Malicious Outsider,Japan,Asia,Hospitality,2016,7930000
Mossack Fonseca,219,Identity Theft,Malicious Insider,Panama,North America,Financial,2016,11500000
ClixSense,220,Account Access,Malicious Outsider,United States,North America,Technology,2016,6600000
Heritage Auctions and Christies,221,Existential Data,Malicious Outsider,United Kingdom,Europe,Retail,2016,2700000
Leet.cc Servers / Minecraft,222,Account Access,Malicious Outsider,United States,North America,Technology,2016,6084276
Newkirk Products/Symphonix Health Insurance,223,Identity Theft,Malicious Outsider,United States,North America,Healthcare,2016,3466120
Three,224,Nuisance,Malicious Outsider,United Kingdom,Europe,Retail,2016,9000000
Turkish State Hospitals,225,Identity Theft,Hacktivist,Turkey,Europe,Healthcare,2016,10000000
Washington Department of Fish and Wildlife,226,Identity Theft,Malicious Outsider,United States,North America,Government,2016,2435452
Kentucky Department of Fish and Wildlife,227,Identity Theft,Malicious Outsider,United States,North America,Government,2016,2126449
Lifeboat/Minecraft,228,Account Access,Malicious Outsider,United States,North America,Technology,2016,7089395
Naughty America,229,Account Access,Malicious Outsider,United States,North America,Other,2016,3800000
Photobucket,230,Identity Theft,Malicious Outsider,United States,North America,Other,2016,1900000
E-Sports Entertainment Association,231,Identity Theft,Malicious Outsider,United States,North America,Technology,2016,1503707
Interpark Corp,232,Nuisance,State Sponsored,South Korea,Asia,Retail,2016,10300000
Aerticket,233,Financial Access,Malicious Outsider,Germany,Europe,Hospitality,2016,1500000
Capgemini,234,Identity Theft,Accidental Loss,France,Europe,Technology,2016,10000000
i-Dressup,235,Account Access,Malicious Outsider,United States,North America,Other,2016,5500000
Kentucky Fried Chicken KFC,236,Identity Theft,Malicious Outsider,United States,North America,Retail,2016,1200000
Oregon Department of Fish and Wildlife,237,Identity Theft,Malicious Outsider,United States,North America,Government,2016,1195204
T Mobile's Czech Subsidiary,238,Identity Theft,Malicious Insider,Czech Republic,Europe,Retail,2016,1500000
Dota2,239,Account Access,Malicious Outsider,United States,North America,Technology,2016,1923972
Indian Institute of Management - Ahmedabad (IIM-A),240,Identity Theft,Malicious Outsider,India,Asia,Education,2016,2000000
Ubuntu Forums,241,Account Access,Malicious Outsider,United States,North America,Other,2016,2000000
Carbonite,242,Account Access,Malicious Outsider,United States,North America,Technology,2016,1500000
Clash of Kings,243,Account Access,Malicious Outsider,United States,North America,Technology,2016,1597717
Idaho Department of Fish and Game,244,Identity Theft,Malicious Outsider,United States,North America,Government,2016,788064
KM.RU,245,Identity Theft,Malicious Outsider,Russia,Europe,Technology,2016,1500000
Los Angeles County,246,Identity Theft,Malicious Outsider,United States,North America,Government,2016,756000
Mac Forums/ HotScripts / Hosting Talk,247,Account Access,Malicious Outsider,United States,North America,Technology,2016,1442602
Nival,248,Identity Theft,Malicious Outsider,Russia,Europe,Technology,2016,1500000
Opera Sync,249,Account Access,Malicious Outsider,United States,North America,Technology,2016,1700000
Steam Game,250,Account Access,Malicious Outsider,United States,North America,Technology,2016,3300000
Valley Anesthesiology and Pain Consultants (VAPC),251,Identity Theft,Malicious Outsider,United States,North America,Healthcare,2016,882590
Carpooling.com / BlaBlaCar,252,Financial Access,Malicious Outsider,Germany,Europe,Retail,2016,743000
DealerBuilt,253,Identity Theft,Accidental Loss,United States,North America,Technology,2016,5000000
"Medical Records from three companies in Missouri, Georgia, & Midwest",254,Identity Theft,Malicious Outsider,United States,North America,Healthcare,2016,655000
Oilpro Competitor,255,Identity Theft,Malicious Outsider,United States,North America,Other,2016,700000
Pakwheels,256,Identity Theft,Malicious Outsider,Pakistan,Asia,Retail,2016,674775
CiCi's Pizza,257,Financial Access,Malicious Outsider,United States,North America,Retail,2016,600000
Evony Gaming Company #2,258,Account Access,Malicious Outsider,United States,North America,Technology,2016,938000
GitHub/GeekedIn MongoDB,259,Account Access,Accidental Loss,United States,North America,Technology,2016,8000000
Google Android,260,Account Access,Malicious Outsider,United States,North America,Technology,2016,1000000
Lookbook.nu,261,Account Access,Malicious Outsider,United States,North America,Retail,2016,1100000
Office of Child Support Enforcement,262,Identity Theft,Malicious Outsider,United States,North America,Government,2016,5000000
Peachtree Orthopedic Clinic,263,Identity Theft,Malicious Outsider,United States,North America,Healthcare,2016,543879
Shadi.com,264,Account Access,Malicious Outsider,United States,North America,Other,2016,2035020
State Bank of India,265,Financial Access,Malicious Outsider,India,Asia,Financial,2016,600000
Australian Health Department,266,Identity Theft,Accidental Loss,Australia,Australia,Government,2016,3000000
C & Z Investment Group - HaveanAffair,267,Account Access,Malicious Outsider,New Zealand,Australia,Other,2016,1500000
Community Health Plan of Washington,268,Identity Theft,Malicious Outsider,United States,North America,Healthcare,2016,381534
Emory Brain Health Center/ MongoDB,269,Identity Theft,Malicious Outsider,United States,North America,Technology,2016,364313
Kroger/Equifax W-2 Express,270,Identity Theft,Malicious Outsider,United States,North America,Retail,2016,431000
Michigan Sate University,271,Identity Theft,Malicious Outsider,United States,North America,Education,2016,400000
Verizon Enterprise Solutions,272,Nuisance,Malicious Outsider,United States,North America,Technology,2016,1500000
Nulled,273,Identity Theft,Malicious Outsider,United States,North America,Technology,2016,599080
State of Louisiana,274,Identity Theft,Malicious Outsider,United States,North America,Government,2016,290000
BlueSnap/ Regpack,275,Financial Access,Malicious Outsider,United States,North America,Financial,2016,324000
Central Ohio Urology Group,276,Identity Theft,Malicious Outsider,United States,North America,Healthcare,2016,521659
Good Samaritan Hospital,277,Identity Theft,Malicious Outsider,United States,North America,Healthcare,2016,500000
Mexican Voter Database #2,278,Identity Theft,Accidental Loss,Mexico,North America,Government,2016,2072585
Qatar National Bank (QNB)/Al Jazeera Media Network,279,Identity Theft,Malicious Outsider,Qatar,Asia,Financial,2016,465437
World-Check/Thomson-Reuters,280,Identity Theft,Accidental Loss,United States,North America,Technology,2016,2200000
Baileys,281,Financial Access,Malicious Outsider,United States,North America,Retail,2016,250000
Illinois State Board of Elections,282,Identity Theft,Malicious Outsider,United States,North America,Government,2016,200000
Kiddicare,283,Account Access,Malicious Outsider,United Kingdom,Europe,Retail,2016,800000
MoDaCo,284,Account Access,Malicious Outsider,United Kingdom,Europe,Technology,2016,879703
Oklahoma City health database,285,Identity Theft,Malicious Outsider,United States,North America,Healthcare,2016,210000
Playdomforums.com,286,Account Access,Malicious Outsider,United States,North America,Technology,2016,391000
